team,win_pct
"Chennai Super Kings",56.43
"Lucknow Super Giants",55.56
"Mumbai Indians",55.15
"Rajasthan Royals",54.05
"Gujarat Titans",53.33
player_of_match,finals_awards
"PA Patel",1
"LJ Wright",1
"DW Steyn",1
"DR Smith",1
match_winner,chase_wins
"Kolkata Knight Riders",79
"Mumbai Indians",76
"Delhi Capitals",75
"Royal Challengers Bangalore",74
"Rajasthan Royals",72
toss_win_match_win_pct
51.65
team1,venue,matches
"Kolkata Knight Riders","Eden Gardens",66
"Mumbai Indians","Wankhede Stadium",61
"Royal Challengers Bangalore","M Chinnaswamy Stadium",60
"Delhi Capitals","Feroz Shah Kotla",56
"Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Uppal",48
"Chennai Super Kings","MA Chidambaram Stadium, Chepauk",45
"Rajasthan Royals","Sawai Mansingh Stadium",40
"Punjab Kings","Punjab Cricket Association Stadium, Mohali",35
"Chennai Super Kings","MA Chidambaram Stadium, Chepauk, Chennai",16
"Lucknow Super Giants","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",16
