team,matches
"Royal Challengers Bangalore",157
"Sunrisers Hyderabad",140
"Chennai Super Kings",140
"Punjab Kings",136
"Mumbai Indians",136
"Delhi Capitals",134
"Kolkata Knight Riders",132
"Rajasthan Royals",111
"Lucknow Super Giants",36
"Gujarat Titans",30
